enzyme_id,compound_id
EC1.1.1.10,C00379
EC1.1.1.10,C00312
EC1.1.1.102,C02934
EC1.1.1.102,C00836
EC1.1.1.103,C00188
EC1.1.1.103,C03508
EC1.1.1.105,C00473
EC1.1.1.105,C00376
EC1.1.1.107,C00250
EC1.1.1.107,C00971
EC1.1.1.11,C00392
EC1.1.1.11,C01904
EC1.1.1.11,C00310
EC1.1.1.110,C05607
EC1.1.1.110,C00166
EC1.1.1.110,C01179
EC1.1.1.110,C03964
EC1.1.1.110,C00331
EC1.1.1.110,C22006
EC1.1.1.120,C00124
EC1.1.1.120,C03383
EC1.1.1.120,C02669
EC1.1.1.122,C01825
EC1.1.1.122,C01115
EC1.1.1.122,C01019
EC1.1.1.122,C18028
EC1.1.1.127,C00204
EC1.1.1.127,C04349
EC1.1.1.130,C00618
EC1.1.1.130,C04575
EC1.1.1.132,C00096
EC1.1.1.132,C00976
EC1.1.1.133,C00688
EC1.1.1.133,C03319
EC1.1.1.135,C01222
EC1.1.1.135,C02977
EC1.1.1.136,C00043
EC1.1.1.136,C04573
EC1.1.1.137,C01068
EC1.1.1.137,C00199
EC1.1.1.14,C00794
EC1.1.1.14,C00379
EC1.1.1.14,C00310
EC1.1.1.140,C01096
EC1.1.1.140,C00085
EC1.1.1.141,C00639
EC1.1.1.141,C05960
EC1.1.1.141,C00584
EC1.1.1.141,C04707
EC1.1.1.145,C01227
EC1.1.1.145,C00280
EC1.1.1.145,C01953
EC1.1.1.145,C00410
EC1.1.1.145,C04295
EC1.1.1.145,C00535
EC1.1.1.145,C05489
EC1.1.1.145,C00735
EC1.1.1.145,C05138
EC1.1.1.145,C01176
EC1.1.1.145,C05485
EC1.1.1.145,C03205
EC1.1.1.145,C05139
EC1.1.1.145,C05140
EC1.1.1.145,C05487
EC1.1.1.145,C05488
EC1.1.1.145,C00187
EC1.1.1.145,C00599
EC1.1.1.157,C14145
EC1.1.1.157,C02232
EC1.1.1.157,C01144
EC1.1.1.157,C00332
EC1.1.1.16,C01697
EC1.1.1.16,C00795
EC1.1.1.163,C00854
EC1.1.1.163,C00414
EC1.1.1.169,C00522
EC1.1.1.169,C00966
EC1.1.1.17,C00644
EC1.1.1.17,C00085
EC1.1.1.173,C02431
EC1.1.1.173,C02991
EC1.1.1.175,C00181
EC1.1.1.175,C02266
EC1.1.1.178,C04405
EC1.1.1.178,C03344
EC1.1.1.179,C00181
EC1.1.1.179,C02266
EC1.1.1.18,C00137
EC1.1.1.18,C00691
EC1.1.1.183,C09871
EC1.1.1.183,C09847
EC1.1.1.183,C09849
EC1.1.1.183,C09848
EC1.1.1.183,C11386
EC1.1.1.183,C11384
EC1.1.1.183,C01500
EC1.1.1.183,C01499
EC1.1.1.184,C00584
EC1.1.1.184,C00639
EC1.1.1.184,C00835
EC1.1.1.184,C02953
EC1.1.1.184,C03684
EC1.1.1.184,C04244
EC1.1.1.184,C16453
EC1.1.1.184,C19574
EC1.1.1.189,C00584
EC1.1.1.189,C00639
EC1.1.1.193,C01268
EC1.1.1.193,C04454
EC1.1.1.2,C00800
EC1.1.1.2,C00191
EC1.1.1.2,C00469
